year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
2007,5.6100431541781095,144,9.454688112985485,19.909768536681053,18.88976069046685,14.182032169478227,37.56375049038839,5098,13890,6.853581512357656
2008,5.963379109446525,444,8.11485642946317,19.829379941739493,19.995838535164378,14.689970869746151,37.36995422388681,4806,14995,5.692518165383515
2009,6.786188846386149,504,8.757801489832897,18.763841352929333,18.22025367425005,14.415139923495067,39.84296355949265,4967,15835,5.231735317154834
2010,8.710816777041943,500,7.247976453274466,17.0345842531273,16.24356144223694,14.10963944076527,45.36423841059602,5436,18029,5.022635350883418
2011,8.048695652173913,770,6.643478260869565,16.869565217391305,17.6,13.73913043478261,45.14782608695652,5750,19459,4.1857682094759525
2012,7.535597310808481,816,8.015859334597483,16.721254956042063,17.359076021375625,13.739010515428374,44.16479917255646,5801,20101,5.726166463750735
2013,7.806678082191781,514,7.089041095890411,16.575342465753426,16.541095890410958,12.928082191780822,46.86643835616438,5840,20634,4.459424111317232
2014,9.184549356223176,485,7.175965665236052,15.17596566523605,15.708154506437769,13.716738197424892,48.223175965665234,5825,21460,4.248186710898129
2015,8.541916653153883,301,6.161829090319443,15.0154045727258,15.80995621858278,13.264147883898168,49.74866223447381,6167,23155,4.3999650052492125
2016,10.951837372947615,1574,5.566849100860047,13.510555121188428,15.136825645035184,12.478498827208757,53.30727130570759,6395,26013,3.2920527168761278
2017,10.561293984108968,3677,7.71850170261067,13.450624290578888,13.635073779795686,12.82633371169126,52.369466515323495,7048,28832,4.004257956058384
2018,9.46792095289659,461,7.011369788846778,13.860314022739578,14.618299945858148,12.384948565240931,52.12506767731456,7388,28494,2.8432997577457604
2019,9.151413881748072,1205,6.658097686375322,13.611825192802057,14.601542416452443,12.442159383033419,52.68637532133676,7780,31819,2.9405135272638283
2020,10.387332828665153,1339,6.459752712591471,13.298006560686348,13.714357809740095,12.604087812263437,53.92379510471865,7926,34613,3.389315167706362
2021,10.784092350627933,1602,6.089052391221617,11.51845744006089,13.700367880248637,11.810224533806926,56.88189775466193,7883,36150,2.5125461545155794
2022,10.567846232179226,1695,5.4989816700611,11.265274949083503,14.269348268839105,11.889002036659878,57.07739307535642,7856,36075,2.323914881228971
2023,12.068167985392575,1703,5.088253195374315,10.456482045039563,13.71880706025563,11.734631771150335,59.00182592818016,8215,37744,2.730387440452444
2024,11.88515721852812,1798,4.417896990871182,9.376760960216387,12.769074721063902,11.495548292572975,61.940719035275556,8873,41129,1.7797942590180136
2025,13.025625955095803,1811,4.243564123662866,9.004349359351123,11.155518984365816,11.296579287645468,64.29998824497473,8507,41021,2.295918367346939
2026,13.178029175349806,433,4.0488240547782075,8.21673116999107,10.866329264662102,11.521286097052695,65.34682941351593,3359,23532,1.6354151980826166
